profile_id,chat_message,major,university,city,preferred_locations,skills,qualifications,interest,program_type,work_mode,preferred_roles,interview_preference,opportunity_id,company_name,program_name,opportunity_city,opportunity_program_type,opportunity_work_mode,opportunity_skills,opportunity_requirements,opportunity_role_cluster,interview_required,source_url,verified_opportunity,opportunity_inferred_role_cluster,opportunity_inferred_interests,opportunity_inferred_skills,opportunity_required_skills,opportunity_preferred_skills,major_fit_score,skill_match_score,role_interest_score,city_match_score,program_type_score,work_mode_score,verification_score,interview_score,target_score
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,IAU,Riyadh,Riyadh; Dammam,python; sql,,,Internship,Hybrid,Backend Developer,,1,Saudi Aramco,University Internship Program (UIP),Dhahran,COOP,In person,problem solving; decision making; presentation; report writing,Eligibility and documents stated on UIP page (university-required training + GPA thresholds; transcript + university letter).,General Computing,Not stated,https://www.aramco.com/en/careers/saudi-applicants/non-employee-programs/university-and-vocational-college-internship-programs/university-internship-program,True,,,,,,1.0,0.0,0.0,0.0,0.0,0.7,1.0,0.5,42.5
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,IAU,Riyadh,Riyadh; Dammam,python; sql,,,Internship,Hybrid,Backend Developer,,2,SABIC,COOP Training Program,Not stated,COOP,In person,Not stated,University nomination/letter; transcript showing GPA; CV/Resume (typical).,General Computing,Not stated,https://www.sabic.com/careers/middle-east-africa/students-and-fresh-graduates,True,,,,,,1.0,0.0,0.0,0.3,0.0,0.7,1.0,0.5,45.5
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,IAU,Riyadh,Riyadh; Dammam,python; sql,,,Internship,Hybrid,Backend Developer,,3,stc (Saudi Telecom Company),Cooperative Training Program (COOP),Riyadh,COOP,In person,communication; teamwork; problem solving; time management; English proficiency,"Not fully listed on overview page (typical: CV, transcript, university letter).",General Computing,Not stated,https://careers.stc.com.sa/content/COOP/?locale=en_US,True,Network Security,Cybersecurity; Cloud / DevOps,networking; network security; cybersecurity; linux; cloud,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,1.0,0.0,0.0,1.0,0.0,0.7,1.0,0.5,52.5
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,IAU,Riyadh,Riyadh; Dammam,python; sql,,,Internship,Hybrid,Backend Developer,,4,Saudi National Bank (SNB),SNB Cooperative Training Program,Saudi Arabia,COOP,In person,Not stated,Updated resume; National ID; university letter confirming COOP required; academic transcript showing GPA.,General Computing,Not stated,https://www.alahli.com/en/pages/about-us/careers/snb-cooperative-training-program,True,Backend Engineering,FinTech; Software Development; Data Science; Cybersecurity,sql; python; api; cybersecurity; data analysis,python; apis; sql; git,docker; testing; cloud; rest apis,1.0,0.7,0.0,0.5,0.0,0.7,1.0,0.5,61.5
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,IAU,Riyadh,Riyadh; Dammam,python; sql,,,Internship,Hybrid,Backend Developer,,5,Al Rajhi Bank,Cooperative Training Program,Saudi Arabia,COOP,In person,Not stated,National ID; transcript; university COOP letter (start/end dates); CV/Resume.,General Computing,Not stated,https://careers.alrajhibank.com.sa/en/page/coop-program/,True,Backend Engineering,FinTech; Software Development; Data Science; Cybersecurity,sql; python; api; cybersecurity; data analysis,python; apis; sql; git,docker; testing; cloud; rest apis,1.0,0.7,0.0,0.5,0.0,0.7,1.0,0.5,61.5
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,IAU,Riyadh,Riyadh; Dammam,python; sql,,,Internship,Hybrid,Backend Developer,,6,Capital Market Authority (CMA),COOP Program,Riyadh,COOP,In person,Not stated,"Not fully listed on overview page (typical: CV, transcript, university letter, ID).",General Computing,Not stated,https://careers.cma.gov.sa/ar/page/coop-program/,True,Software Engineering,Software Development,python; api; sql; git,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,1.0,0.7,0.0,1.0,0.0,0.7,1.0,0.5,66.5
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,IAU,Riyadh,Riyadh; Dammam,python; sql,,,Internship,Hybrid,Backend Developer,,7,Digital Government Authority (DGA),Maidan Cooperative Training Program,Riyadh,COOP,In person,Not stated,Academic record; CV (attachments required).,General Computing,Not stated,https://career.dga.gov.sa/en/page/coop-program/,True,,,,,,1.0,0.0,0.0,1.0,0.0,0.7,1.0,0.5,52.5
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,IAU,Riyadh,Riyadh; Dammam,python; sql,,,Internship,Hybrid,Backend Developer,,8,KPMG Saudi Arabia,COOP & Internship Programs,Saudi Arabia,COOP,In person,English proficiency; logical reasoning; numerical reasoning; communication; resilience,Not stated,General Computing,Not stated,https://kpmg.com/sa/en/careers/coop-and-internship-programs.html,True,,,,,,1.0,0.0,0.0,0.5,0.0,0.7,1.0,0.5,47.5
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,IAU,Riyadh,Riyadh; Dammam,python; sql,,,Internship,Hybrid,Backend Developer,,9,PwC Middle East,"Deals, COOP and Summer Internship Programme (2026)",Riyadh,COOP,In person,data analysis; accounting fundamentals; problem solving; communication; teamwork,Not explicitly listed in excerpt; typical: CV + transcript.,General Computing,Not stated,https://careers.pwc.com/job/Middle-East-Deals%2C-COOP-and-Summer-Internship-Programme-2026-Middle-East-Midd/1268227301/,True,,,,,,1.0,0.0,0.3,1.0,0.0,0.7,1.0,0.5,57.0
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,IAU,Riyadh,Riyadh; Dammam,python; sql,,,Internship,Hybrid,Backend Developer,,10,Deloitte Middle East (KSA),Jusoor Al Sharqiyah Internship Program,Khobar,Internship,In person,ITSM; Networking Fundamentals; troubleshooting,"Not explicitly listed; typical: CV, transcript.",Network Engineering,Not stated,https://middleeastjobs.deloitte.com/careersME/PipelineDetail/Intern-Jusoor-Al-Sharqiyah-Internship-Program-Al-Khobar/243472,True,Network Security,Cybersecurity; Cloud / DevOps,networking; network security; cybersecurity; linux; cloud,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,1.0,0.0,0.6,0.0,1.0,0.7,1.0,0.5,61.5
